D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.0
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.0
44901|2012|Honda|Civic|SUV|Gray|103221|6995.0
28934|2005|Chevrolet|Malibu|Sedan|Blue|145678|3495.0
52107|2008|Toyota|Camry|Sedan|Silver|98234|5495.0
63782|2010|Nissan|Altima|Sedan|Black|112456|6495.0
71293|2007|Dodge|Ram 1500|truck|White|187543|7995.0
19456|2015|Honda|CR-V|SUV|Green|76890|11995.0
85021|2004|Ford|F-150|truck|Red|203456|4995.0
92347|2011|Hyundai|Sonata|Sedan|Gray|89234|5995.0
40618|2009|Jeep|Grand Cherokee|SUV|Black|134567|8995.0
33892|2013|Mazda|CX-5|SUV|White|92345|9995.0
57204|2006|Toyota|Tacoma|truck|Blue|156789|6995.0
68145|2014|Kia|Optima|Sedan|Silver|71234|7995.0
74629|2003|Honda|Accord|Sedan|Maroon|167890|2995.0
40618|2015|jeep|CX-5|SUV|Pink|15498|45000.0
82058|2013|Volkswagen|Beetle|sedan|Blue|35800|12000.0
123345|2009|G37|Infiniti|Coupe|Grey|100000|12000.0
