D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
28934|2005|Chevrolet|Malibu|Sedan|Blue|145678|3495.00
52107|2008|Toyota|Camry|Sedan|Silver|98234|5495.00
63782|2010|Nissan|Altima|Sedan|Black|112456|6495.00
71293|2007|Dodge|Ram 1500|truck|White|187543|7995.00
19456|2015|Honda|CR-V|SUV|Green|76890|11995.00
85021|2004|Ford|F-150|truck|Red|203456|4995.00
92347|2011|Hyundai|Sonata|Sedan|Gray|89234|5995.00
40618|2009|Jeep|Grand Cherokee|SUV|Black|134567|8995.00
33892|2013|Mazda|CX-5|SUV|White|92345|9995.00
57204|2006|Toyota|Tacoma|truck|Blue|156789|6995.00
68145|2014|Kia|Optima|Sedan|Silver|71234|7995.00
74629|2003|Honda|Accord|Sedan|Maroon|167890|2995.00
